,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
473615,E 72 St & York Ave,2 Ave & E 72 St,40.76664272899099,-73.95348145817285,40.76876202930183,-73.95840793849669,3772
185632,Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,40.779656431139024,-73.98092816850945,40.782939099946454,-73.97865170016065,3735
9375,1 Ave & E 78 St,E 77 St & 3 Ave,40.77140198657952,-73.95350832896501,40.773142359806094,-73.95856158022622,3713
8873,1 Ave & E 78 St,2 Ave & E 72 St,40.771401603050364,-73.9535133885497,40.76876202927786,-73.95840793854701,3693
989807,West St & Chambers St,10 Ave & W 14 St,40.71755541575301,-74.01321635961959,40.741981617927756,-74.00831581054004,3692
861757,Vesey St & Church St,North Moore St & Greenwich St,40.71222218210372,-74.01047712879063,40.72019521419689,-74.01030063659309,3618
12932,10 Ave & W 14 St,West St & Chambers St,40.74197650639473,-74.00831551853757,40.71754831752847,-74.01322071048875,3601
656184,Little West St & 1 Pl,West St & Liberty St,40.705693560389214,-74.01677848981429,40.711444,-74.014847,3597
412041,E 2 St & Avenue C,E 1 St & 1 Ave,40.72089815042542,-73.98085230561088,40.72335597961935,-73.98864984520982,3580
318014,Clinton St & Grand St,Henry St & Grand St,40.71562239783712,-73.98701941587979,40.714211,-73.981095,3524
21407,12 Ave & W 40 St,10 Ave & W 14 St,40.76087712524367,-74.00278096230487,40.74198162146351,-74.00831581229333,3513
786251,S 4 St & Wythe Ave,N 6 St & Bedford Ave,40.71287456364584,-73.96591981993451,40.71745169053417,-73.95850938932797,3482
294820,Central Park S & 6 Ave,7 Ave & Central Park South,40.76591212305992,-73.97634784382944,40.766740573287485,-73.97906899469885,3471
899322,W 22 St & 10 Ave,W 21 St & 6 Ave,40.746912879532076,-74.00447781953079,40.74173969054102,-73.99415556076788,3438
806271,Southpoint Park,Roosevelt Island Tramway,40.753699970393285,-73.95865771105957,40.757284,-73.9536,3427
782298,Roosevelt Island Tramway,Southpoint Park,40.757282476655014,-73.95359820498666,40.75370223477115,-73.95865201801088,3377
689457,Milton St & Franklin St,Kent Ave & N 7 St,40.72905609132606,-73.95779188198505,40.720367754019016,-73.96165073031355,3343
924786,W 42 St & 8 Ave,11 Ave & W 41 St,40.75759243241282,-73.99097011252259,40.76030096007205,-73.99884221960372,3331
